ID1,ID2,SNP_count_0.001,PRS_0.001,SNP_count_0.01,PRS_0.01,SNP_count_0.05,PRS_0.05,SNP_count_0.1,PRS_0.1,SNP_count_0.2,PRS_0.2,SNP_count_0.5,PRS_0.5
Family72,Child,2,-0.1022671846164249,13,-0.024810691147228947,14,-0.015806239187433475,18,-0.01053712039843888,21,-0.008308600288234285,33,-0.004700230902676002
Family72,Mother,2,-0.073097423810621,13,-0.028400923008807085,14,-0.018954583358734223,18,-0.014894679245470242,21,-0.013116497126101837,33,-0.00814417279085334
Family73,Child,2,-0.1022671846164249,13,-0.03741930667569345,14,-0.02732879676370013,18,-0.018276498560102383,21,-0.015665570194373472,33,-0.009784279313565734
Family73,Mother,2,-0.08030335311401635,13,-0.02804820288707096,14,-0.018627057531407816,18,-0.013750686018212166,21,-0.011786302301324714,33,-0.006121543062629935
Family73,Father,2,-0.08030335311401635,13,-0.02972424599709505,14,-0.020183383276430187,18,-0.016803287882766933,21,-0.01513532707871698,33,-0.0096622641517836
Family74,Child,2,-0.1022671846164249,13,-0.02287717059124518,14,-0.013825384685283881,18,-0.010058471921604351,21,-0.009618601080259704,33,-0.00509587110519856
Family74,Mother,2,-0.1022671846164249,13,-0.026603471873615468,14,-0.017285521590342006,18,-0.011574827416649324,21,-0.010653789536330458,33,-0.005767047648990766
Family75,Child,2,-0.08030335311401635,13,-0.02630300830455945,14,-0.017006519704789988,18,-0.012416746108215117,21,-0.010737301308975936,33,-0.005733088372231606
Family75,Mother,2,-0.1022671846164249,13,-0.03324349585731531,14,-0.027160109292785173,18,-0.021445719306690404,21,-0.019114554013508527,33,-0.011636464452429596
Family75,Father,2,-0.1022671846164249,13,-0.034280266964135525,14,-0.028122825320546805,18,-0.022033903511020705,21,-0.020942386265836194,33,-0.011825544354616314
Family76,Child,2,-0.1022671846164249,13,-0.03210005651130761,14,-0.02238949303962757,18,-0.017522287090014476,21,-0.01569016926762063,33,-0.009511110786152407
Family76,Father,2,-0.08030335311401635,13,-0.030789814525057038,14,-0.021172839766680603,18,-0.012625106331167682,21,-0.01134131766587589,33,-0.0068043190265325805
Family77,Child,2,-0.1022671846164249,13,-0.028789194511496877,14,-0.019315121182660457,18,-0.012089860998212744,21,-0.01097691202527749,33,-0.005358602881104534
Family78,Father,2,-0.0583395216116078,13,-0.02605457778713597,14,-0.01677583422432533,18,-0.011122285536840904,21,-0.01099840538998285,33,-0.005686891725570797
